"orderNumber";"orderDate";"requiredDate";"shippedDate";"status";"customerNumber";"modelgroup";"totalCost";"itemQty"
10319;"2004-11-03 00:00:00";"2004-11-11 00:00:00";"2004-11-06 00:00:00";"Shipped";456;"Ford";32.0;2
10320;"2004-11-03 00:00:00";"2004-11-13 00:00:00";"2004-11-07 00:00:00";"Shipped";144;"Toyota";91.0;4
10321;"2004-11-04 00:00:00";"2004-11-12 00:00:00";"2004-11-07 00:00:00";"Shipped";462;"Mazda";100.0;4
10322;"2004-11-04 00:00:00";"2004-11-12 00:00:00";"2004-11-10 00:00:00";"Shipped";363;"Nissan";98.0;1
10323;"2004-11-05 00:00:00";"2004-11-12 00:00:00";"2004-11-09 00:00:00";"Shipped";128;"Ford";79.0;3
10324;"2004-11-05 00:00:00";"2004-11-11 00:00:00";"2004-11-08 00:00:00";"Shipped";181;"Ford";128.0;1
10325;"2004-11-05 00:00:00";"2004-11-13 00:00:00";"2004-11-08 00:00:00";"Shipped";121;"BMW";61.0;1
10326;"2004-11-09 00:00:00";"2004-11-16 00:00:00";"2004-11-10 00:00:00";"Shipped";144;"BMW";85.0;4
10327;"2004-11-10 00:00:00";"2004-11-19 00:00:00";"2004-11-13 00:00:00";"Resolved";145;"BMW";78.0;2
10328;"2004-11-12 00:00:00";"2004-11-21 00:00:00";"2004-11-18 00:00:00";"Shipped";278;"Ford";111.0;1
10329;"2004-11-15 00:00:00";"2004-11-24 00:00:00";"2004-11-16 00:00:00";"Shipped";131;"Ford";108.0;1
10330;"2004-11-16 00:00:00";"2004-11-25 00:00:00";"2004-11-21 00:00:00";"Shipped";385;"Ford";108.0;1
10331;"2004-11-17 00:00:00";"2004-11-23 00:00:00";"2004-11-23 00:00:00";"Shipped";486;"Ford";129.0;2
10332;"2004-11-17 00:00:00";"2004-11-25 00:00:00";"2004-11-18 00:00:00";"Shipped";187;"Ford";102.0;4
10333;"2004-11-18 00:00:00";"2004-11-27 00:00:00";"2004-11-20 00:00:00";"Shipped";129;"Toyota";89.0;2
10335;"2004-11-19 00:00:00";"2004-11-29 00:00:00";"2004-11-23 00:00:00";"Shipped";124;"Nissan";126.0;1
10336;"2004-11-20 00:00:00";"2004-11-26 00:00:00";"2004-11-24 00:00:00";"Shipped";172;"Nissan";32.0;2
10337;"2004-11-21 00:00:00";"2004-11-30 00:00:00";"2004-11-26 00:00:00";"Shipped";424;"BMW";57.0;4
10338;"2004-11-22 00:00:00";"2004-12-02 00:00:00";"2004-11-27 00:00:00";"Shipped";381;"Ford";133.0;1
10339;"2004-11-23 00:00:00";"2004-11-30 00:00:00";"2004-11-30 00:00:00";"Shipped";398;"Mazda";112.0;3
10340;"2004-11-24 00:00:00";"2004-12-01 00:00:00";"2004-11-25 00:00:00";"Shipped";216;"Mazda";80.0;4
10341;"2004-11-24 00:00:00";"2004-12-01 00:00:00";"2004-11-29 00:00:00";"Shipped";382;"Nissan";33.0;4
10342;"2004-11-24 00:00:00";"2004-12-01 00:00:00";"2004-11-29 00:00:00";"Shipped";114;"Ford";71.0;3
10343;"2004-11-24 00:00:00";"2004-12-01 00:00:00";"2004-11-26 00:00:00";"Shipped";353;"Toyota";63.0;1
10344;"2004-11-25 00:00:00";"2004-12-02 00:00:00";"2004-11-29 00:00:00";"Shipped";350;"Mazda";84.0;1
10345;"2004-11-25 00:00:00";"2004-12-01 00:00:00";"2004-11-26 00:00:00";"Shipped";103;"Nissan";42.0;4
10346;"2004-11-29 00:00:00";"2004-12-05 00:00:00";"2004-11-30 00:00:00";"Shipped";112;"Ford";52.0;3
10347;"2004-11-29 00:00:00";"2004-12-07 00:00:00";"2004-11-30 00:00:00";"Shipped";114;"Ford";133.0;3
10348;"2004-11-01 00:00:00";"2004-11-08 00:00:00";"2004-11-05 00:00:00";"Shipped";458;"BMW";88.0;4
10349;"2004-12-01 00:00:00";"2004-12-07 00:00:00";"2004-12-03 00:00:00";"Shipped";151;"BMW";71.0;4
10350;"2004-12-02 00:00:00";"2004-12-08 00:00:00";"2004-12-05 00:00:00";"Shipped";141;"BMW";116.0;3
10351;"2004-12-03 00:00:00";"2004-12-11 00:00:00";"2004-12-07 00:00:00";"Shipped";324;"Ford";121.0;4
10352;"2004-12-03 00:00:00";"2004-12-12 00:00:00";"2004-12-09 00:00:00";"Shipped";198;"Ford";69.0;2
10353;"2004-12-04 00:00:00";"2004-12-11 00:00:00";"2004-12-05 00:00:00";"Shipped";447;"Ford";42.0;1
10354;"2004-12-04 00:00:00";"2004-12-10 00:00:00";"2004-12-05 00:00:00";"Shipped";323;"Ford";49.0;4
10355;"2004-12-07 00:00:00";"2004-12-14 00:00:00";"2004-12-13 00:00:00";"Shipped";141;"Ford";68.0;1
10356;"2004-12-09 00:00:00";"2004-12-15 00:00:00";"2004-12-12 00:00:00";"Shipped";250;"Toyota";131.0;4
10357;"2004-12-10 00:00:00";"2004-12-16 00:00:00";"2004-12-14 00:00:00";"Shipped";124;"Toyota";69.0;1
10358;"2004-12-10 00:00:00";"2004-12-16 00:00:00";"2004-12-16 00:00:00";"Shipped";141;"Nissan";66.0;1
10359;"2004-12-15 00:00:00";"2004-12-23 00:00:00";"2004-12-18 00:00:00";"Shipped";353;"Nissan";117.0;1
10360;"2004-12-16 00:00:00";"2004-12-22 00:00:00";"2004-12-18 00:00:00";"Shipped";496;"BMW";35.0;4
10361;"2004-12-17 00:00:00";"2004-12-24 00:00:00";"2004-12-20 00:00:00";"Shipped";282;"Ford";64.0;1
10362;"2005-01-05 00:00:00";"2005-01-16 00:00:00";"2005-01-10 00:00:00";"Shipped";161;"Mazda";99.0;4
10363;"2005-01-06 00:00:00";"2005-01-12 00:00:00";"2005-01-10 00:00:00";"Shipped";334;"Mazda";77.0;1
10364;"2005-01-06 00:00:00";"2005-01-17 00:00:00";"2005-01-09 00:00:00";"Shipped";350;"Nissan";38.0;2
10365;"2005-01-07 00:00:00";"2005-01-18 00:00:00";"2005-01-11 00:00:00";"Shipped";320;"Ford";88.0;2
10366;"2005-01-10 00:00:00";"2005-01-19 00:00:00";"2005-01-12 00:00:00";"Shipped";381;"Toyota";53.0;1
10367;"2005-01-12 00:00:00";"2005-01-21 00:00:00";"2005-01-16 00:00:00";"Resolved";205;"Mazda";39.0;3
10368;"2005-01-19 00:00:00";"2005-01-27 00:00:00";"2005-01-24 00:00:00";"Shipped";124;"Nissan";51.0;4
10369;"2005-01-20 00:00:00";"2005-01-28 00:00:00";"2005-01-24 00:00:00";"Shipped";379;"Ford";88.0;3
10370;"2005-01-20 00:00:00";"2005-02-01 00:00:00";"2005-01-25 00:00:00";"Shipped";276;"Ford";40.0;1
10371;"2005-01-23 00:00:00";"2005-02-03 00:00:00";"2005-01-25 00:00:00";"Shipped";124;"BMW";51.0;2
10372;"2005-01-26 00:00:00";"2005-02-05 00:00:00";"2005-01-28 00:00:00";"Shipped";398;"BMW";32.0;4
10373;"2005-01-31 00:00:00";"2005-02-08 00:00:00";"2005-02-06 00:00:00";"Shipped";311;"BMW";48.0;3
10374;"2005-02-02 00:00:00";"2005-02-09 00:00:00";"2005-02-03 00:00:00";"Shipped";333;"Ford";76.0;1
10375;"2005-02-03 00:00:00";"2005-02-10 00:00:00";"2005-02-06 00:00:00";"Shipped";119;"Ford";81.0;3
10376;"2005-02-08 00:00:00";"2005-02-18 00:00:00";"2005-02-13 00:00:00";"Shipped";219;"Ford";49.0;3
10377;"2005-02-09 00:00:00";"2005-02-21 00:00:00";"2005-02-12 00:00:00";"Shipped";186;"Ford";41.0;1
10378;"2005-02-10 00:00:00";"2005-02-18 00:00:00";"2005-02-11 00:00:00";"Shipped";141;"Ford";128.0;3
10379;"2005-02-10 00:00:00";"2005-02-18 00:00:00";"2005-02-11 00:00:00";"Shipped";141;"Toyota";60.0;3
10380;"2005-02-16 00:00:00";"2005-02-24 00:00:00";"2005-02-18 00:00:00";"Shipped";141;"Toyota";114.0;3
10381;"2005-02-17 00:00:00";"2005-02-25 00:00:00";"2005-02-18 00:00:00";"Shipped";321;"Nissan";54.0;4
10382;"2005-02-17 00:00:00";"2005-02-23 00:00:00";"2005-02-18 00:00:00";"Shipped";124;"Nissan";61.0;3
10383;"2005-02-22 00:00:00";"2005-03-02 00:00:00";"2005-02-25 00:00:00";"Shipped";141;"BMW";103.0;2
10384;"2005-02-23 00:00:00";"2005-03-06 00:00:00";"2005-02-27 00:00:00";"Shipped";321;"Ford";106.0;4
10385;"2005-02-28 00:00:00";"2005-03-09 00:00:00";"2005-03-01 00:00:00";"Shipped";124;"Mazda";89.0;4
10386;"2005-03-01 00:00:00";"2005-03-09 00:00:00";"2005-03-06 00:00:00";"Resolved";141;"Mazda";35.0;4
10387;"2005-03-02 00:00:00";"2005-03-09 00:00:00";"2005-03-06 00:00:00";"Shipped";148;"Nissan";57.0;4
10388;"2005-03-03 00:00:00";"2005-03-11 00:00:00";"2005-03-09 00:00:00";"Shipped";462;"Ford";64.0;3
10389;"2005-03-03 00:00:00";"2005-03-09 00:00:00";"2005-03-08 00:00:00";"Shipped";448;"Toyota";122.0;2
10390;"2005-03-04 00:00:00";"2005-03-11 00:00:00";"2005-03-07 00:00:00";"Shipped";124;"Mazda";111.0;2
10391;"2005-03-09 00:00:00";"2005-03-20 00:00:00";"2005-03-15 00:00:00";"Shipped";276;"Nissan";47.0;2
10392;"2005-03-10 00:00:00";"2005-03-18 00:00:00";"2005-03-12 00:00:00";"Shipped";452;"Ford";91.0;4
10393;"2005-03-11 00:00:00";"2005-03-22 00:00:00";"2005-03-14 00:00:00";"Shipped";323;"Ford";33.0;1
10394;"2005-03-15 00:00:00";"2005-03-25 00:00:00";"2005-03-19 00:00:00";"Shipped";141;"BMW";46.0;3
10395;"2005-03-17 00:00:00";"2005-03-24 00:00:00";"2005-03-23 00:00:00";"Shipped";250;"BMW";67.0;4
10396;"2005-03-23 00:00:00";"2005-04-02 00:00:00";"2005-03-28 00:00:00";"Shipped";124;"BMW";44.0;2
10397;"2005-03-28 00:00:00";"2005-04-09 00:00:00";"2005-04-01 00:00:00";"Shipped";242;"Ford";48.0;2
10398;"2005-03-30 00:00:00";"2005-04-09 00:00:00";"2005-03-31 00:00:00";"Shipped";353;"Ford";75.0;1
10399;"2005-04-01 00:00:00";"2005-04-12 00:00:00";"2005-04-03 00:00:00";"Shipped";496;"Ford";65.0;3
10400;"2005-04-01 00:00:00";"2005-04-11 00:00:00";"2005-04-04 00:00:00";"Shipped";450;"Ford";67.0;3
10402;"2005-04-07 00:00:00";"2005-04-14 00:00:00";"2005-04-12 00:00:00";"Shipped";406;"Toyota";37.0;1
10403;"2005-04-08 00:00:00";"2005-04-18 00:00:00";"2005-04-11 00:00:00";"Shipped";201;"Toyota";128.0;1
10404;"2005-04-08 00:00:00";"2005-04-14 00:00:00";"2005-04-11 00:00:00";"Shipped";323;"Nissan";98.0;3
10405;"2005-04-14 00:00:00";"2005-04-24 00:00:00";"2005-04-20 00:00:00";"Shipped";209;"Nissan";58.0;2
10406;"2005-04-15 00:00:00";"2005-04-25 00:00:00";"2005-04-21 00:00:00";"Disputed";145;"BMW";126.0;1
10408;"2005-04-22 00:00:00";"2005-04-29 00:00:00";"2005-04-27 00:00:00";"Shipped";398;"Mazda";50.0;4
10409;"2005-04-23 00:00:00";"2005-05-05 00:00:00";"2005-04-24 00:00:00";"Shipped";166;"Mazda";111.0;1
10410;"2005-04-29 00:00:00";"2005-05-10 00:00:00";"2005-04-30 00:00:00";"Shipped";357;"Nissan";108.0;3
10411;"2005-05-01 00:00:00";"2005-05-08 00:00:00";"2005-05-06 00:00:00";"Shipped";233;"Ford";61.0;3
10412;"2005-05-03 00:00:00";"2005-05-13 00:00:00";"2005-05-05 00:00:00";"Shipped";141;"Toyota";84.0;1
10413;"2005-05-05 00:00:00";"2005-05-14 00:00:00";"2005-05-09 00:00:00";"Shipped";175;"Mazda";51.0;4
10415;"2005-05-09 00:00:00";"2005-05-20 00:00:00";"2005-05-12 00:00:00";"Disputed";471;"Ford";56.0;3
10416;"2005-05-10 00:00:00";"2005-05-16 00:00:00";"2005-05-14 00:00:00";"Shipped";386;"Ford";123.0;2
10417;"2005-05-13 00:00:00";"2005-05-19 00:00:00";"2005-05-19 00:00:00";"Disputed";141;"BMW";81.0;2
10418;"2005-05-16 00:00:00";"2005-05-24 00:00:00";"2005-05-20 00:00:00";"Shipped";412;"BMW";32.0;1
10419;"2005-05-17 00:00:00";"2005-05-28 00:00:00";"2005-05-19 00:00:00";"Shipped";382;"BMW";60.0;2
